no.,vid,title,description,thumbnail,view_counts,t_emoji_count,t_word_count,t_punctuation_count,t_length,t_lang,d_emoji_count,d_word_count,d_punctuation_count,d_length,d_lang,thumb_brightness,thumb_contrast,thumb_blurriness,thumb_entropy,t_lang_digit,d_lang_digit,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14
11,KASHcsiAoz4,4 Ways to Be Stronger On The Court (“Basketball Strong 🔑),,https://i.ytimg.com/vi/KASHcsiAoz4/default.jpg,221651,1,10,2,57,en,0,1,0,3,tl,0.09492242798,3.254768456,39.87916667,7.194511262,30,14,0.8208826513,0.2725456109,-0.3227616261,0.0554058319,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,-0.05448138301,-0.2754199221,0.1840582523,0.6564881897
12,OCBGOp3HTCw,Can we survive Michael Meyers? (Basketball Edition),We did the Michael Meyers challenge with basketball obstacles #shorts #challenge #sports #basketball #nba #hooper ...,https://i.ytimg.com/vi/OCBGOp3HTCw/default.jpg,6732609,0,7,3,51,en,0,15,9,117,en,0.07265109441,3.319989622,28.40416667,4.49628706,30,21,-0.4630839566,-0.4887549783,0.08648811114,-0.2196369078,0.2781659035,-0.1480910628,0.06105839943,0.5153178871,0.5545117153,0.5403974534,-0.7013790135,-0.2124874291,-0.7704255248,-3.017862358
13,tNTxKeVJ6JA,Basketball stereotypes against girls,What's my vert? Jump program: https://www.macrofit.co/vertical-for-ballers/ TIKTOK: ...,https://i.ytimg.com/vi/tNTxKeVJ6JA/default.jpg,4667619,0,4,0,36,no,0,14,16,87,en,0.08112234217,3.0403697,33.62222222,7.129196689,33,21,-0.4630839566,-1.250055567,-1.141261101,-0.9072437572,0.785973841,-0.1480910628,-0.05243304932,1.792965541,-0.02195705494,0.5403974534,-0.4553214488,-0.4822952199,-0.3363907208,0.5675450112
14,lT00f4JwPiQ,Wake Forest vs. Syracuse 2023 New York Life ACC Men&#39;s Basketball Tournament Highlights,Wake Forest vs. Syracuse: The ninth-seeded Wake Forest Demon Deacons won a thriller to advance in the 2023 New York Life ...,https://i.ytimg.com/vi/lT00f4JwPiQ/default.jpg,4045,0,15,4,90,en,0,22,6,124,en,0.1020297095,4.154548258,58.13055556,6.291394669,30,21,-0.4630839566,1.541379926,0.4957378484,1.5681409,0.2781659035,-0.1480910628,0.8554985407,-0.03224539317,0.689021095,0.5403974534,0.1519581445,0.5927857432,1.702198087,-0.5733454707
15,1vjUXqN_Ui0,Every team has this player #basketball #shorts,,https://i.ytimg.com/vi/1vjUXqN_Ui0/default.jpg,659132,0,7,2,46,en,0,1,0,3,tl,0.109119511,3.711071429,31.30833333,7.356018402,30,14,-0.4630839566,-0.4887549783,-0.3227616261,-0.4488391909,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,0.3578899436,0.1648709415,-0.5288586429,0.8764231567
16,fzNJM1NoeSU,Jake playing basketball Game - Fun Challenge,Today with Jake We will play an exciting and fun game - basketball. Jake plays on the magic field where after each throw ...,https://i.ytimg.com/vi/fzNJM1NoeSU/default.jpg,8279530,0,6,1,44,no,0,22,5,124,en,0.1734486314,5.684663718,39.66666667,6.948511093,33,21,-0.4630839566,-0.7425218413,-0.7320113634,-0.5405201042,0.785973841,-0.1480910628,0.8554985407,-0.2147664866,0.689021095,0.5403974534,2.226406503,2.069207984,0.1663826268,0.3214934723
17,gT2CSsg44_Q,I Cracked My Head Open In A Basketball Video...,"I unfortunately got injured during a basketball video, this is what happened... I also ordered pads for the poles aha 1v1 DRAW ...",https://i.ytimg.com/vi/gT2CSsg44_Q/default.jpg,6086334,0,9,3,47,en,0,22,7,130,en,0.1063545017,3.728526378,44.12916667,6.994488562,30,21,-0.4630839566,0.01877874787,0.08648811114,-0.4029987343,0.2781659035,-0.1480910628,0.8554985407,0.1502757003,0.804314849,0.5403974534,0.2775769273,0.1817133799,0.5375707623,0.3841040355
18,pGJNyqzjtmk,Impossible Rubber Band Ball Basketball Shot,How good are #Shorts?! Get excited for these in between our regular longer vids.,https://i.ytimg.com/vi/pGJNyqzjtmk/default.jpg,32591460,0,6,0,43,en,0,14,4,80,en,0.1169921477,4.002063244,32.89027778,7.249309662,30,21,-0.4630839566,-0.7425218413,-1.141261101,-0.5863605608,0.2781659035,-0.1480910628,-0.05243304932,-0.3972875801,-0.1564664346,0.5403974534,0.5865601298,0.4456515744,-0.3972734308,0.7311107994
19,HIV2e_FF6s8,The 10 BEST Moves in BASKETBALL 🏀‼️,,https://i.ytimg.com/vi/HIV2e_FF6s8/default.jpg,77860,2,6,0,35,en,0,1,0,3,tl,0.08807605652,3.211138526,33.62222222,7.065710113,30,14,2.104849259,-0.7425218413,-1.141261101,-0.9530842138,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,-0.2533424642,-0.3175188363,-0.3363907208,0.4810911368
20,BnDn1MgbV6U,The best thing about a mini basketball hoop...,Got prime mj in my living room... - THE MERCH IS HERE!! - www.bigguarduniversity.com - ALSO SUBSCRIBE TO - My Second ...,https://i.ytimg.com/vi/BnDn1MgbV6U/default.jpg,1135446,0,8,3,46,en,0,19,14,120,en,0.06612380501,2.625753514,21.79305556,6.96177989,30,21,-0.4630839566,-0.2349881152,0.08648811114,-0.4488391909,0.2781659035,-0.1480910628,0.5150241944,1.427923354,0.6121585923,0.5403974534,-0.890971973,-0.8823621268,-1.320333874,0.3395624721
21,cGg4qlClav0,North Carolina vs. Duke Men&#39;s Basketball Highlights (2022-23),North Carolina vs. Duke: The Duke Blue Devils made it a regular season sweep of the rival North Carolina Tar Heels with the ...,https://i.ytimg.com/vi/cGg4qlClav0/default.jpg,28975,0,11,7,65,en,0,23,5,127,en,0.1189466458,4.458580606,59.99583333,6.818043121,30,21,-0.4630839566,0.526312474,1.72348706,0.4221294849,0.2781659035,-0.1480910628,0.9689899894,-0.2147664866,0.746667972,0.5403974534,0.6433308768,0.8861493045,1.8573508,0.1438265967
22,alNhVb7_HaY,KG’s Anthony Davis/Lakers Conspiracy Theory Might Be Spot On 🤔😳 #nba #lakers,Watch the full episode: https://youtu.be/ue0ELa4AULQ #SHOWTIMEBasketball #KevinGarnett #paulpierce #kgcertified #nba ...,https://i.ytimg.com/vi/alNhVb7_HaY/default.jpg,33233,2,13,3,76,en,0,13,14,120,en,0.02874746768,1.087082946,9.893055556,5.225713855,30,21,2.104849259,1.0338462,0.08648811114,0.9263745077,0.2781659035,-0.1480910628,-0.1659244981,1.427923354,0.6121585923,0.5403974534,-1.976612578,-2.367039269,-2.310168902,-2.024553596
23,XbtmGKif7Ck,The Basic Rules of Basketball | Basketball,"In this video, you will learn the basic rules of basketball that you'll need to know in a game situation. This is the very first video in ...",https://i.ytimg.com/vi/XbtmGKif7Ck/default.jpg,1749181,0,6,1,42,en,0,28,6,141,en,0.1722529533,5.744028582,30.55277778,6.12335343,30,21,-0.4630839566,-0.7425218413,-0.7320113634,-0.6322010174,0.2781659035,-0.1480910628,1.536447233,-0.03224539317,1.015686731,0.5403974534,2.191676595,2.126489678,-0.5917053114,-0.8021783524
24,AgSwtAKADHM,The most disrespectful move in basketball history! 😳 #shorts,shorts #basketball #disrespectful.,https://i.ytimg.com/vi/AgSwtAKADHM/default.jpg,12037,1,8,2,60,en,0,3,3,34,en,0.06594962309,2.490282224,28.23888889,6.83388432,30,21,0.8208826513,-0.2349881152,-0.3227616261,0.1929272018,0.2781659035,-0.1480910628,-1.300838986,-0.5798086735,-1.040385216,0.5403974534,-0.896031296,-1.013079599,-0.7841732335,0.1653986061
25,5YHq9xHlftw,This Is A Real Basketball Rim,shorts.,https://i.ytimg.com/vi/5YHq9xHlftw/default.jpg,5604922,0,6,0,29,en,0,1,1,7,en,0.1130989891,3.928398394,28.52222222,7.064031885,30,21,-0.4630839566,-0.7425218413,-1.141261101,-1.228126954,0.2781659035,-0.1480910628,-1.527821883,-0.9448508604,-1.559207109,0.5403974534,0.473478664,0.374571695,-0.7606057328,0.4788057837
26,pPEx6-qMtuA,This ref climbed up the basketball hoop 😳😂,,https://i.ytimg.com/vi/pPEx6-qMtuA/default.jpg,9874156,2,7,0,42,en,0,1,0,3,tl,0.0969944367,3.548265971,35.51111111,7.4077946,30,14,2.104849259,-0.4887549783,-1.141261101,-0.6322010174,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,0.00570259849,0.007778483667,-0.1792740497,0.9469302325
27,vuOJHn-a6KE,This is why the Celtics coach got hurt playing basketball! #shorts #nba #celtics,,https://i.ytimg.com/vi/vuOJHn-a6KE/default.jpg,110720,0,13,4,80,en,0,1,0,3,tl,0.1297065504,4.248119713,26.49166667,7.185255995,30,14,-0.4630839566,1.0338462,0.4957378484,1.109736334,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,0.9558652253,0.6830736863,-0.9295061543,0.6438846798
28,R3yrajFSsjg,"6112,Shaq vs her litter brother playing basketball","Shaq vs her litter brother playing basketball, sister and brother playing basketball，sister beats brother sport equipment： knee ...",https://i.ytimg.com/vi/R3yrajFSsjg/default.jpg,3043853,0,8,1,50,en,0,18,4,131,en,0.08610827233,2.91633462,36.3375,7.336458943,30,21,-0.4630839566,-0.2349881152,-0.7320113634,-0.2654773644,0.2781659035,-0.1480910628,0.4015327457,-0.3972875801,0.8235304747,0.5403974534,-0.3104991193,-0.60197779,-0.110535506,0.849787746
29,Z-X0qGJ_vec,Basketball Skip Jab Tutorial🏀🔥 #shorts,,https://i.ytimg.com/vi/Z-X0qGJ_vec/default.jpg,462564,2,5,1,38,en,0,1,0,3,tl,0.09616676737,3.246971271,33.12638889,7.309259719,30,14,2.104849259,-0.9962887044,-0.7320113634,-0.8155628439,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,-0.01833805118,-0.2829434967,-0.377633847,0.8127487615
30,f-QKljrVjA4,I LEARNED TO PLAY BASKETBALL #shorts,shorts ---------------------------------------------------------------- ▻ FOLLOW THESE! • Twitter - https://twitter.com/isaiahphoto • Instagram ...,https://i.ytimg.com/vi/f-QKljrVjA4/default.jpg,10073439,0,6,1,36,en,0,9,74,147,en,0.1192010937,3.944075295,25.61805556,6.374626278,30,21,-0.4630839566,-0.7425218413,-0.7320113634,-0.9072437572,0.2781659035,-0.1480910628,-0.6198902931,12.37918896,1.130980485,0.5403974534,0.6507216197,0.3896984783,-1.002172615,-0.4600034779
31,j7d8d6qyP-Y,The BEST backboards in basketball! #shorts,Which basketball hoop is the best? #basketball #hoops #shorts.,https://i.ytimg.com/vi/j7d8d6qyP-Y/default.jpg,297649,0,6,2,42,en,0,9,5,62,en,0.0953719488,3.268935468,18.22777778,7.211941487,30,21,-0.4630839566,-0.7425218413,-0.3227616261,-0.6322010174,0.2781659035,-0.1480910628,-0.6198902931,-0.2147664866,-0.5023476968,0.5403974534,-0.04142451099,-0.2617500443,-1.61689159,0.680224082
32,V8_47iEcMDE,Top 3 Effective 1v1 Moves in Basketball #basketball #ucla #shorts,,https://i.ytimg.com/vi/V8_47iEcMDE/default.jpg,3383527,0,10,3,65,en,0,1,0,3,tl,0.09724119535,3.433890867,42.7125,7.343442424,30,14,-0.4630839566,0.2725456109,0.08648811114,0.4221294849,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,0.01286999994,-0.1025830886,0.419733259,0.8592976136
33,mMbGKhJAWy0,The Most Dangerous Place in the World...Hezi Island 🏝️ #basketball,"Become a better hooper, join ITL+ and get a 3-day free trial: https://www.inthelabplus.com/ -- ✓ Subscribe To Channel For More ...",https://i.ytimg.com/vi/mMbGKhJAWy0/default.jpg,4941,1,10,4,66,en,0,22,15,130,en,0.0614383711,2.620777717,17.49583333,6.517304391,30,21,0.8208826513,0.2725456109,0.4957378484,0.4679699415,0.2781659035,-0.1480910628,0.8554985407,1.610444448,0.804314849,0.5403974534,-1.027066028,-0.8871633178,-1.6777743,-0.2657092441
34,Kc9nFaop2rc,When you leave the trash player open… #basketball #swish,,https://i.ytimg.com/vi/Kc9nFaop2rc/default.jpg,692027,0,9,2,56,en,0,1,0,3,tl,0.1057236593,3.581818074,30.03333333,7.301385714,30,14,-0.4630839566,0.01877874787,-0.3227616261,0.009565375282,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,0.2592533519,0.04015321108,-0.6349123959,0.8020262069
35,rD98Hk0Da-A,MJ is done with the Hornets 😭 #shorts,"SUBSCRIBE, LIKE & COMMENT! ---- TikTok: https://bit.ly/3oq16Xu Instagram: https://bit.ly/3sTk5JP Twitter: ...",https://i.ytimg.com/vi/rD98Hk0Da-A/default.jpg,311379,1,7,1,37,en,0,14,23,109,en,0.02942708291,1.44259127,28.82916667,5.843290079,30,21,0.8208826513,-0.4887549783,-0.7320113634,-0.8614033005,0.2781659035,-0.1480910628,-0.05243304932,3.070613195,0.4007867099,0.5403974534,-1.956872338,-2.024006073,-0.7350742738,-1.18355916
36,uiT49aaa0Kg,I Am The Basketball Head,shorts.,https://i.ytimg.com/vi/uiT49aaa0Kg/default.jpg,7708327,0,5,0,24,en,0,1,1,7,en,0.1093312194,3.828110743,28.66388889,7.33389975,30,21,-0.4630839566,-0.9962887044,-1.141261101,-1.457329237,0.2781659035,-0.1480910628,-1.527821883,-0.9448508604,-1.559207109,0.5403974534,0.3640392691,0.2778032336,-0.7488219825,0.8463027233
37,eHKhrAgO_6g,When the anime kid tries out for the basketball team!!,,https://i.ytimg.com/vi/eHKhrAgO_6g/default.jpg,5677081,0,10,2,54,en,0,1,0,3,tl,0.1310128233,4.308774184,21.27361111,7.018013249,30,14,-0.4630839566,0.2725456109,-0.3227616261,-0.08211553796,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,0.9938074915,0.7415997333,-1.363540958,0.4161391591
38,myECvehefiM,he thought 13 was good😱#basketball #shorts,,https://i.ytimg.com/vi/myECvehefiM/default.jpg,67131,1,7,2,42,en,0,1,0,3,tl,0.1048842637,3.512194032,50.38611111,7.540856177,30,14,0.8208826513,-0.4887549783,-0.3227616261,-0.6322010174,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,0.2348721002,-0.02702765684,1.058019735,1.128128992
39,SVvVUm5jFJY,She beat LeBron in a shooting contest and got a signed basketball from him 🙌 (via @nicolekornet),,https://i.ytimg.com/vi/SVvVUm5jFJY/default.jpg,27731211,1,16,3,96,en,0,1,0,3,tl,0.08206040571,2.970704183,47.6,7.195062593,30,14,0.8208826513,1.795146789,0.08648811114,1.84318364,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,-0.4280742665,-0.5495161079,0.8262726455,0.6572389745
40,_265JrJ8zC0,The guy that lies about being good #basketball #liar,,https://i.ytimg.com/vi/_265JrJ8zC0/default.jpg,1183635,0,9,2,52,en,0,1,0,3,tl,0.09447626785,3.209766084,23.1625,7.205957134,30,14,-0.4630839566,0.01877874787,-0.3227616261,-0.1737964512,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,-0.06744063982,-0.3188431177,-1.206424287,0.6720747921
41,2zWWVyFjmew,TOP 3 BASKETBALL MOVES TO FOR REAL GAMES,,https://i.ytimg.com/vi/2zWWVyFjmew/default.jpg,331071,0,8,0,40,en,0,1,0,3,tl,0.1013668336,3.370005645,34.6375,6.934370015,30,14,-0.4630839566,-0.2349881152,-1.141261101,-0.7238819307,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,0.1327041168,-0.1642265165,-0.2519405101,0.3022366305
42,5mLvgv-Oi1s,Which Basketball net are you Hooping on? #basketball #shorts,,https://i.ytimg.com/vi/5mLvgv-Oi1s/default.jpg,919988,0,9,3,60,en,0,1,0,3,tl,0.1049501376,3.846780682,57.09166667,7.494156356,30,14,-0.4630839566,0.01877874787,0.08648811114,0.1929272018,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,0.2367854861,0.2958180265,1.615783918,1.064534754
43,1FaOZIta5E8,Basketball Stereotypes gone wrong,What's my vert? Jump program: https://www.macrofit.co/vertical-for-ballers/ TIKTOK: ...,https://i.ytimg.com/vi/1FaOZIta5E8/default.jpg,3163426,0,4,0,33,en,0,14,16,87,en,0.07690275744,2.721373814,35.08611111,6.839914264,30,21,-0.4630839566,-1.250055567,-1.141261101,-1.044765127,0.2781659035,-0.1480910628,-0.05243304932,1.792965541,-0.02195705494,0.5403974534,-0.5778843546,-0.7900972349,-0.2146253007,0.1736099799
44,o_EjlcN3ZV0,The greatest basketball referee of all time 🤯 (via ellie.powell/Instagram),,https://i.ytimg.com/vi/o_EjlcN3ZV0/default.jpg,39929899,1,11,4,74,en,0,1,0,3,tl,0.1026264237,3.747444192,34.73194444,7.465973587,30,14,0.8208826513,0.526312474,0.4957378484,0.8346935945,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,0.1692904261,0.19996735,-0.2440846765,1.026156412
45,zzAh--De3zU,Giannis knew what he was doing 😂 #shorts,"SUBSCRIBE, LIKE & COMMENT! ---- TikTok: https://bit.ly/3oq16Xu Instagram: https://bit.ly/3sTk5JP Twitter: ...",https://i.ytimg.com/vi/zzAh--De3zU/default.jpg,316619,1,7,1,40,en,0,14,23,109,en,0.09945047337,3.602999133,32.20555556,7.23682851,30,21,0.8208826513,-0.4887549783,-0.7320113634,-0.7238819307,0.2781659035,-0.1480910628,-0.05243304932,3.070613195,0.4007867099,0.5403974534,0.07704113327,0.0605910062,-0.4542282241,0.7141143891
46,JTymx5jzi4c,The BEST adidas basketball shoe EVER! 👟🏀,,https://i.ytimg.com/vi/JTymx5jzi4c/default.jpg,49369,2,6,1,40,en,0,1,0,3,tl,0.06874323614,2.470104988,20.54166667,7.000204237,30,14,2.104849259,-0.7425218413,-0.7320113634,-0.7238819307,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,-0.81488745,-1.032548797,-1.424423668,0.3918874486
47,_d31gjgLA74,Myers Park practices ahead of 4A basketball championship game,It's been more than 60 years since Myers Park High School's basketball team has made it to a championship game. But the team ...,https://i.ytimg.com/vi/_d31gjgLA74/default.jpg,40,0,9,0,61,en,0,25,6,128,en,0.1422513517,4.856860482,41.41388889,6.914893872,30,21,-0.4630839566,0.01877874787,-1.141261101,0.2387676584,0.2781659035,-0.1480910628,1.195972887,-0.03224539317,0.7658835977,0.5403974534,1.320244047,1.270453157,0.3117155476,0.2757146765
48,Y2NdFQNGMZM,Your birth month is your basketball! Pt. 3 #shorts,Your basketball based on month! #basketball #bball #hoops #sports #shorts #youtubeshorts.,https://i.ytimg.com/vi/Y2NdFQNGMZM/default.jpg,335557,0,9,3,50,en,0,11,8,89,en,0.08663575236,3.062620661,35.34583333,7.176977673,30,21,-0.4630839566,0.01877874787,0.08648811114,-0.2654773644,0.2781659035,-0.1480910628,-0.3929073956,0.3327967937,0.01647419641,0.5403974534,-0.2951778284,-0.460825067,-0.1930217584,0.6326115405
49,pQ1uCqrgCaM,I guess I like sports now. #sports #basketball #comedy #shorts #espn #tour,,https://i.ytimg.com/vi/pQ1uCqrgCaM/default.jpg,297994,0,12,7,74,en,0,1,0,3,tl,0.04240970649,1.898564123,25.97222222,6.208643089,30,14,-0.4630839566,0.7800793371,1.72348706,0.8346935945,0.2781659035,-0.1480910628,-1.527821883,-1.127371954,-1.636069611,-1.274176663,-1.579776444,-1.584033744,-0.9727132388,-0.6860337764
50,HMZQstwO37w,Teens Involved in Car Crash That Was Like a Movie Scene,"Four teenagers and a 12-year-old allegedly stole an SUV. It ended in a high-speed chase, and the video from May 2021 was just ...",https://i.ytimg.com/vi/HMZQstwO37w/default.jpg,8515528,0,11,0,55,en,0,26,8,129,en,0.1177074211,4.01050882,23.04444444,6.436937467,30,21,-0.4630839566,0.526312474,-1.141261101,-0.03627508134,0.2781659035,-0.1480910628,1.309464336,0.3327967937,0.7850992233,0.5403974534,0.6073361053,0.4538007874,-1.216244079,-0.3751502068
51,KyBYuEgvFl0,Baby Car | Car Songs | Pinkfong Songs for Children,[NEW CHANNEL] Subscribe Bebefinn - Nursery Rhymes & Kids Songs ...,https://i.ytimg.com/vi/KyBYuEgvFl0/default.jpg,224230287,0,8,2,50,en,0,8,7,66,en,0.1250403798,4.33067804,45.00277778,7.126552846,30,21,-0.4630839566,-0.2349881152,-0.3227616261,-0.2654773644,0.2781659035,-0.1480910628,-0.7333817418,0.1502757003,-0.4254851941,0.5403974534,0.8203306981,0.7627349622,0.6102372227,0.563944716
52,hfkLHE_aOA0,Driving around in a fake POLICE car!,See the full story - https://youtu.be/Qm4LHak5WZY VINwiki Merchandise - https://store.vinwiki.com VINwiki on iOS ...,https://i.ytimg.com/vi/hfkLHE_aOA0/default.jpg,277092,0,7,1,36,en,0,17,15,116,en,0.1208612325,4.045094868,41.4375,7.353323462,30,21,-0.4630839566,-0.4887549783,-0.7320113634,-0.9072437572,0.2781659035,-0.1480910628,0.2880412969,1.610444448,0.5352960896,0.5403974534,0.6989423458,0.4871731782,0.313679506,0.8727532782
