,Unnamed: 0,Unnamed: 0.1,vid,title,description,thumbnail,view_counts,t_emoji_count,t_word_count,t_punctuation_count,t_length,t_lang,d_emoji_count,d_word_count,d_punctuation_count,d_length,d_lang
10,10,10,oFa2vbfvocU,The Evolution of NBA Basketball,It do be facts... ☆ Follow me on social media @Jesser ☆ ○Instagram https://instagram.com/jesser ○Twitter ...,https://i.ytimg.com/vi/oFa2vbfvocU/default.jpg,16519634,0,5,0,31,en,0,16,12,108,en
11,11,11,KASHcsiAoz4,4 Ways to Be Stronger On The Court (“Basketball Strong 🔑),,https://i.ytimg.com/vi/KASHcsiAoz4/default.jpg,221651,1,10,2,57,en,0,1,0,3,tl
12,12,12,OCBGOp3HTCw,Can we survive Michael Meyers? (Basketball Edition),We did the Michael Meyers challenge with basketball obstacles #shorts #challenge #sports #basketball #nba #hooper ...,https://i.ytimg.com/vi/OCBGOp3HTCw/default.jpg,6732609,0,7,3,51,en,0,15,9,117,en
13,13,13,tNTxKeVJ6JA,Basketball stereotypes against girls,What's my vert? Jump program: https://www.macrofit.co/vertical-for-ballers/ TIKTOK: ...,https://i.ytimg.com/vi/tNTxKeVJ6JA/default.jpg,4667619,0,4,0,36,no,0,14,16,87,en
14,14,14,lT00f4JwPiQ,Wake Forest vs. Syracuse 2023 New York Life ACC Men&#39;s Basketball Tournament Highlights,Wake Forest vs. Syracuse: The ninth-seeded Wake Forest Demon Deacons won a thriller to advance in the 2023 New York Life ...,https://i.ytimg.com/vi/lT00f4JwPiQ/default.jpg,4045,0,15,4,90,en,0,22,6,124,en
15,15,15,1vjUXqN_Ui0,Every team has this player #basketball #shorts,,https://i.ytimg.com/vi/1vjUXqN_Ui0/default.jpg,659132,0,7,2,46,en,0,1,0,3,tl
16,16,16,fzNJM1NoeSU,Jake playing basketball Game - Fun Challenge,Today with Jake We will play an exciting and fun game - basketball. Jake plays on the magic field where after each throw ...,https://i.ytimg.com/vi/fzNJM1NoeSU/default.jpg,8279530,0,6,1,44,no,0,22,5,124,en
17,17,17,gT2CSsg44_Q,I Cracked My Head Open In A Basketball Video...,"I unfortunately got injured during a basketball video, this is what happened... I also ordered pads for the poles aha 1v1 DRAW ...",https://i.ytimg.com/vi/gT2CSsg44_Q/default.jpg,6086334,0,9,3,47,en,0,22,7,130,en
18,18,18,pGJNyqzjtmk,Impossible Rubber Band Ball Basketball Shot,How good are #Shorts?! Get excited for these in between our regular longer vids.,https://i.ytimg.com/vi/pGJNyqzjtmk/default.jpg,32591460,0,6,0,43,en,0,14,4,80,en
19,19,19,HIV2e_FF6s8,The 10 BEST Moves in BASKETBALL 🏀‼️,,https://i.ytimg.com/vi/HIV2e_FF6s8/default.jpg,77860,2,6,0,35,en,0,1,0,3,tl
20,20,20,BnDn1MgbV6U,The best thing about a mini basketball hoop...,Got prime mj in my living room... - THE MERCH IS HERE!! - www.bigguarduniversity.com - ALSO SUBSCRIBE TO - My Second ...,https://i.ytimg.com/vi/BnDn1MgbV6U/default.jpg,1135446,0,8,3,46,en,0,19,14,120,en
21,21,21,cGg4qlClav0,North Carolina vs. Duke Men&#39;s Basketball Highlights (2022-23),North Carolina vs. Duke: The Duke Blue Devils made it a regular season sweep of the rival North Carolina Tar Heels with the ...,https://i.ytimg.com/vi/cGg4qlClav0/default.jpg,28975,0,11,7,65,en,0,23,5,127,en
22,22,22,alNhVb7_HaY,KG’s Anthony Davis/Lakers Conspiracy Theory Might Be Spot On 🤔😳 #nba #lakers,Watch the full episode: https://youtu.be/ue0ELa4AULQ #SHOWTIMEBasketball #KevinGarnett #paulpierce #kgcertified #nba ...,https://i.ytimg.com/vi/alNhVb7_HaY/default.jpg,33233,2,13,3,76,en,0,13,14,120,en
23,23,23,XbtmGKif7Ck,The Basic Rules of Basketball | Basketball,"In this video, you will learn the basic rules of basketball that you'll need to know in a game situation. This is the very first video in ...",https://i.ytimg.com/vi/XbtmGKif7Ck/default.jpg,1749181,0,6,1,42,en,0,28,6,141,en
24,24,24,AgSwtAKADHM,The most disrespectful move in basketball history! 😳 #shorts,shorts #basketball #disrespectful.,https://i.ytimg.com/vi/AgSwtAKADHM/default.jpg,12037,1,8,2,60,en,0,3,3,34,en
25,25,25,5YHq9xHlftw,This Is A Real Basketball Rim,shorts.,https://i.ytimg.com/vi/5YHq9xHlftw/default.jpg,5604922,0,6,0,29,en,0,1,1,7,en
26,26,26,pPEx6-qMtuA,This ref climbed up the basketball hoop 😳😂,,https://i.ytimg.com/vi/pPEx6-qMtuA/default.jpg,9874156,2,7,0,42,en,0,1,0,3,tl
27,27,27,vuOJHn-a6KE,This is why the Celtics coach got hurt playing basketball! #shorts #nba #celtics,,https://i.ytimg.com/vi/vuOJHn-a6KE/default.jpg,110720,0,13,4,80,en,0,1,0,3,tl
28,28,28,R3yrajFSsjg,"6112,Shaq vs her litter brother playing basketball","Shaq vs her litter brother playing basketball, sister and brother playing basketball，sister beats brother sport equipment： knee ...",https://i.ytimg.com/vi/R3yrajFSsjg/default.jpg,3043853,0,8,1,50,en,0,18,4,131,en
29,29,29,Z-X0qGJ_vec,Basketball Skip Jab Tutorial🏀🔥 #shorts,,https://i.ytimg.com/vi/Z-X0qGJ_vec/default.jpg,462564,2,5,1,38,en,0,1,0,3,tl
30,30,30,f-QKljrVjA4,I LEARNED TO PLAY BASKETBALL #shorts,shorts ---------------------------------------------------------------- ▻ FOLLOW THESE! • Twitter - https://twitter.com/isaiahphoto • Instagram ...,https://i.ytimg.com/vi/f-QKljrVjA4/default.jpg,10073439,0,6,1,36,en,0,9,74,147,en
31,31,31,j7d8d6qyP-Y,The BEST backboards in basketball! #shorts,Which basketball hoop is the best? #basketball #hoops #shorts.,https://i.ytimg.com/vi/j7d8d6qyP-Y/default.jpg,297649,0,6,2,42,en,0,9,5,62,en
32,32,32,V8_47iEcMDE,Top 3 Effective 1v1 Moves in Basketball #basketball #ucla #shorts,,https://i.ytimg.com/vi/V8_47iEcMDE/default.jpg,3383527,0,10,3,65,en,0,1,0,3,tl
33,33,33,mMbGKhJAWy0,The Most Dangerous Place in the World...Hezi Island 🏝️ #basketball,"Become a better hooper, join ITL+ and get a 3-day free trial: https://www.inthelabplus.com/ -- ✓ Subscribe To Channel For More ...",https://i.ytimg.com/vi/mMbGKhJAWy0/default.jpg,4941,1,10,4,66,en,0,22,15,130,en
34,34,34,Kc9nFaop2rc,When you leave the trash player open… #basketball #swish,,https://i.ytimg.com/vi/Kc9nFaop2rc/default.jpg,692027,0,9,2,56,en,0,1,0,3,tl
35,35,35,rD98Hk0Da-A,MJ is done with the Hornets 😭 #shorts,"SUBSCRIBE, LIKE & COMMENT! ---- TikTok: https://bit.ly/3oq16Xu Instagram: https://bit.ly/3sTk5JP Twitter: ...",https://i.ytimg.com/vi/rD98Hk0Da-A/default.jpg,311379,1,7,1,37,en,0,14,23,109,en
36,36,36,uiT49aaa0Kg,I Am The Basketball Head,shorts.,https://i.ytimg.com/vi/uiT49aaa0Kg/default.jpg,7708327,0,5,0,24,en,0,1,1,7,en
37,37,37,eHKhrAgO_6g,When the anime kid tries out for the basketball team!!,,https://i.ytimg.com/vi/eHKhrAgO_6g/default.jpg,5677081,0,10,2,54,en,0,1,0,3,tl
38,38,38,myECvehefiM,he thought 13 was good😱#basketball #shorts,,https://i.ytimg.com/vi/myECvehefiM/default.jpg,67131,1,7,2,42,en,0,1,0,3,tl
39,39,39,SVvVUm5jFJY,She beat LeBron in a shooting contest and got a signed basketball from him 🙌 (via @nicolekornet),,https://i.ytimg.com/vi/SVvVUm5jFJY/default.jpg,27731211,1,16,3,96,en,0,1,0,3,tl
40,40,40,_265JrJ8zC0,The guy that lies about being good #basketball #liar,,https://i.ytimg.com/vi/_265JrJ8zC0/default.jpg,1183635,0,9,2,52,en,0,1,0,3,tl
41,41,41,2zWWVyFjmew,TOP 3 BASKETBALL MOVES TO FOR REAL GAMES,,https://i.ytimg.com/vi/2zWWVyFjmew/default.jpg,331071,0,8,0,40,en,0,1,0,3,tl
42,42,42,5mLvgv-Oi1s,Which Basketball net are you Hooping on? #basketball #shorts,,https://i.ytimg.com/vi/5mLvgv-Oi1s/default.jpg,919988,0,9,3,60,en,0,1,0,3,tl
43,43,43,1FaOZIta5E8,Basketball Stereotypes gone wrong,What's my vert? Jump program: https://www.macrofit.co/vertical-for-ballers/ TIKTOK: ...,https://i.ytimg.com/vi/1FaOZIta5E8/default.jpg,3163426,0,4,0,33,en,0,14,16,87,en
44,44,44,o_EjlcN3ZV0,The greatest basketball referee of all time 🤯 (via ellie.powell/Instagram),,https://i.ytimg.com/vi/o_EjlcN3ZV0/default.jpg,39929899,1,11,4,74,en,0,1,0,3,tl
45,45,45,zzAh--De3zU,Giannis knew what he was doing 😂 #shorts,"SUBSCRIBE, LIKE & COMMENT! ---- TikTok: https://bit.ly/3oq16Xu Instagram: https://bit.ly/3sTk5JP Twitter: ...",https://i.ytimg.com/vi/zzAh--De3zU/default.jpg,316619,1,7,1,40,en,0,14,23,109,en
46,46,46,JTymx5jzi4c,The BEST adidas basketball shoe EVER! 👟🏀,,https://i.ytimg.com/vi/JTymx5jzi4c/default.jpg,49369,2,6,1,40,en,0,1,0,3,tl
47,47,47,_d31gjgLA74,Myers Park practices ahead of 4A basketball championship game,It's been more than 60 years since Myers Park High School's basketball team has made it to a championship game. But the team ...,https://i.ytimg.com/vi/_d31gjgLA74/default.jpg,40,0,9,0,61,en,0,25,6,128,en
48,48,48,Y2NdFQNGMZM,Your birth month is your basketball! Pt. 3 #shorts,Your basketball based on month! #basketball #bball #hoops #sports #shorts #youtubeshorts.,https://i.ytimg.com/vi/Y2NdFQNGMZM/default.jpg,335557,0,9,3,50,en,0,11,8,89,en
49,49,49,pQ1uCqrgCaM,I guess I like sports now. #sports #basketball #comedy #shorts #espn #tour,,https://i.ytimg.com/vi/pQ1uCqrgCaM/default.jpg,297994,0,12,7,74,en,0,1,0,3,tl
50,50,0,HMZQstwO37w,Teens Involved in Car Crash That Was Like a Movie Scene,"Four teenagers and a 12-year-old allegedly stole an SUV. It ended in a high-speed chase, and the video from May 2021 was just ...",https://i.ytimg.com/vi/HMZQstwO37w/default.jpg,8515528,0,11,0,55,en,0,26,8,129,en
51,51,1,KyBYuEgvFl0,Baby Car | Car Songs | Pinkfong Songs for Children,[NEW CHANNEL] Subscribe Bebefinn - Nursery Rhymes & Kids Songs ...,https://i.ytimg.com/vi/KyBYuEgvFl0/default.jpg,224230287,0,8,2,50,en,0,8,7,66,en
52,52,2,hfkLHE_aOA0,Driving around in a fake POLICE car!,See the full story - https://youtu.be/Qm4LHak5WZY VINwiki Merchandise - https://store.vinwiki.com VINwiki on iOS ...,https://i.ytimg.com/vi/hfkLHE_aOA0/default.jpg,277092,0,7,1,36,en,0,17,15,116,en
53,53,3,wJZTUprsa5c,Vlad and Niki 50 cars Challenge,Niki and Chris play with 50 ride on cars Thanks https://americas-toys.com/ for helping me to make this video.,https://i.ytimg.com/vi/wJZTUprsa5c/default.jpg,20254478,0,6,0,31,nl,0,21,7,109,en
54,54,4,XJkp2-0eRdU,Fireball Beach Scene | SIDE BY SIDE VIDEO | Pixar Cars,Time for Lightning McQueen to train at one of his favorite spots: Fireball Beach! Now if only Cruz could just get to the finish line ...,https://i.ytimg.com/vi/XJkp2-0eRdU/default.jpg,12019266,0,9,2,54,en,0,25,5,136,en
55,55,5,sAD7UdoM_-k,Hauler Adventures with Mack And Lightning | Pixar Cars,"When Mack and Lightning travel from coast to coast, there'll surely be some fun adventures ahead! © Disney/Pixar; rights in ...",https://i.ytimg.com/vi/sAD7UdoM_-k/default.jpg,35407412,0,8,1,54,en,1,21,8,127,en
56,56,6,c5jO9MFTG6Y,Cardiff car crash victims lay undiscovered for almost two days,"Three people who died in a car crash in Cardiff after a night out on Saturday have been named. Darcy Ross, Rafel Jeanne and ...",https://i.ytimg.com/vi/c5jO9MFTG6Y/default.jpg,349869,0,10,0,62,en,0,24,5,127,en
57,57,7,64OddLy5cPk,Recreando la escena del accidente de Rayo McQueen |  Pixar Cars,Revive el momento icónico interpretado con juguetes de la carrera final de la temporada de El Rayo en Cars 3. Revive el ...,https://i.ytimg.com/vi/64OddLy5cPk/default.jpg,14528066,0,10,1,63,es,0,22,4,123,es
58,58,8,kKEn4Tx0IYE,Bill aims to require snow removal from cars after winter storms,Jaclyn Sanipass said she was driving on Route 26 in Oxford on Monday when a sheet of ice blew off the car truck in front of her ...,https://i.ytimg.com/vi/kKEn4Tx0IYE/default.jpg,309,0,11,0,63,en,0,27,3,131,en
59,59,9,YPKWdL_NXMk,La escena de Mate tumbando al tractor recreada con juguetes | Pixar Cars,Es hora de derribar el tractor! ¡Mate tiene todos los consejos para que el tractor vuelque con éxito! ¡Prepárate para la divertida ...,https://i.ytimg.com/vi/YPKWdL_NXMk/default.jpg,11099472,0,12,1,72,es,0,22,5,134,es
60,60,10,OqRjONsdkvU,Toy Car Race Song | Nursery Rhymes &amp; Kids Songs - Little Angel,"It's time for a car race with some brand new toy cars, and baby John's ready to win this race! Join in the fun, who gets to win in this ...",https://i.ytimg.com/vi/OqRjONsdkvU/default.jpg,106290411,0,11,4,66,en,0,32,8,139,en
61,61,11,HF0s-pXOHck,Tractor Tipping with Mater and Lightning McQueen | Pixar Cars,Mater has all the tips to a successful tractor tipping trip! For more Pixar Cars Subscribe here: ...,https://i.ytimg.com/vi/HF0s-pXOHck/default.jpg,52711206,0,9,1,61,en,0,17,5,100,en
62,62,12,XJh06p-4dYI,Teens drive allegedly stolen car off overpass to escape police chase | USA TODAY,Two teens drove an allegedly stolen car off an overpass in Minnesota to escape police. They suffered non-life-threatening injuries.,https://i.ytimg.com/vi/XJh06p-4dYI/default.jpg,5436,0,13,1,80,en,0,21,4,131,en
63,63,13,yTP5LZc-X2g,NEW CONTENT // Late Model Stock Car,"Joining a flurry of popular cars due in the 2023 Season 2 build, iRacing will release an all-new Late Model Stock car in time for ...",https://i.ytimg.com/vi/yTP5LZc-X2g/default.jpg,11714,0,6,2,35,it,0,26,5,133,en
64,64,14,68u3NyqsI7I,Car Song | Bella X Young Nug | Prod By. Benihana Boy,LYRICS - MAMACITA Young Nug in the house I'm the king of the world 4x Deep down I feel like a prophet Me the gang we be ...,https://i.ytimg.com/vi/68u3NyqsI7I/default.jpg,104826,0,10,3,52,tl,0,27,5,123,en
65,65,15,ZZiTNJ6QleA,My Yellow Car | Super Simple Songs,Let's go for a drive! Buckle up! We can go to the store and buy some fruits and vegetables. This song is fun for learning and ...,https://i.ytimg.com/vi/ZZiTNJ6QleA/default.jpg,116551901,0,6,1,34,en,0,27,7,129,en
66,66,16,HeipUgcOZlY,How Cars Fall off Lift,"www.RainmanRaysRepairs.com Visit my Second Channel on YouTube, RainmanRay Off Duty ...",https://i.ytimg.com/vi/HeipUgcOZlY/default.jpg,46042,0,5,0,22,en,0,12,6,86,en
67,67,17,SQqsP_y8b8A,🚚🚗 Drive Cars &amp; Trucks #appMink #Shorts Kids Song &amp; Nursery Rhymes,"Drive a Car, Taxi, Police car,Fire truck, Crane truck , School Bus, Ambulance! Subscribe to appMink: ...",https://i.ytimg.com/vi/SQqsP_y8b8A/default.jpg,1990133,2,11,6,74,en,0,16,11,104,en
68,68,18,wGoXrKbDioI,"Philadelphia cracking down on cars missing license plates to avoid tickets, towing",The Philadelphia Parking Authority says it's cracking down on parked vehicles that are missing license plates to avoid ticketing or ...,https://i.ytimg.com/vi/wGoXrKbDioI/default.jpg,17380,0,12,1,82,en,0,21,4,135,en
69,69,19,2jVBWyih-RU,Cars on the Road - Cast - TRUCKS (From &quot;Cars on the Road&quot;),"Lightning and Mater are back! Disney and Pixar's #CarsOnTheRoad, a #DisneyPlusDay premiere, is streaming now on Disney+.",https://i.ytimg.com/vi/2jVBWyih-RU/default.jpg,18142636,0,13,8,68,en,0,18,8,120,en
70,70,20,HzVbQuRTuWs,Lightning McQueen&#39;s Big Crash | Pixar Cars,Watch one of the most unforgettable moments in Cars 3 when Lightning crashes during his racing against Jackson Storm.,https://i.ytimg.com/vi/HzVbQuRTuWs/default.jpg,23477786,0,8,4,46,en,0,19,1,117,en
71,71,21,ojCfEbTF808,Cars-Toons | Mater the Greater | Disney Junior UK,"Mater dreams that he is an Evil Kneivel style daredevil! Taking on the most extreme challenges, from shooting himself through a ...",https://i.ytimg.com/vi/ojCfEbTF808/default.jpg,123327597,0,8,3,49,en,0,21,5,131,en
72,72,22,1C8dDixB__o,Have You Seen My Siren? | Car Songs | Police Cars Series | Pinkfong Songs for Kids,Watch Baby Shark Dance ➡️https://www.youtube.com/watch?v=XqZsoesa55w Visit our Official Store: ...,https://i.ytimg.com/vi/1C8dDixB__o/default.jpg,19948988,0,14,4,82,en,1,15,12,98,en
73,73,23,tbAcQPvtgf0,Mack Falls Asleep! | Pixar Cars,"Uh oh, looks like Mack needs to stay up all night to get Lightning McQueen to California! Mack will always lend a helping hand for ...",https://i.ytimg.com/vi/tbAcQPvtgf0/default.jpg,12583201,0,5,2,31,en,0,25,5,134,en
74,74,24,y4qdgRgWkds,the things you see on your way to work 🤔 chief n jackie | caddy jack | midwest street cars | ctsv,,https://i.ytimg.com/vi/y4qdgRgWkds/default.jpg,30984,1,18,3,97,en,0,1,0,3,tl
75,75,25,oCAP2FUjueI,"পালকি চলবে রাস্তায়, জ্বালানিবিহীন গাড়ি পুরোপুরি প্রস্তুত! | Electric Private Car in Bangladesh",palkielectriccar #electricprivatecarinbangladesh #somoytv এবার পালকি চলবে রাস্তায়। লাগবে না ...,https://i.ytimg.com/vi/oCAP2FUjueI/default.jpg,37513,0,29,3,94,bn,0,15,5,96,bn
76,76,26,rWzcoj-sEA0,Tractor Zombieland There&#39;s Frank 💀 Zombie Cars On The Road,Zombie Cars On The Road (part 2) Tractor Zombieland! Lightning McQueen is powerless to help as Mater gets bitten by a Zombie ...,https://i.ytimg.com/vi/rWzcoj-sEA0/default.jpg,3907956,1,11,3,62,en,0,22,6,128,en
77,77,27,Ytl7kcZSXx8,Diana and Roma Car vs. Bike #shorts,"Diana and Roma show that a bicycle is better than a Car. It is the most environmentally friendly, useful and healthy mode of ...",https://i.ytimg.com/vi/Ytl7kcZSXx8/default.jpg,6822555,0,7,2,35,en,0,23,5,128,en
78,78,28,LLEwpu8XEtY,What Does a Bathroom Look Like in the Cars World? | Pixar Cars,"Mater gets to use tons of cool new gear in Pixar Cars 2, but the Japanese bathroom is one of the coolest things he's seen yet!",https://i.ytimg.com/vi/LLEwpu8XEtY/default.jpg,11035410,0,12,2,62,en,0,27,3,126,en
79,79,29,uq48uJTuoY8,Three of missing five found dead after Cardiff car crash,Three people from a group of five reported missing have been found dead after a car crash in Cardiff. The two survivors were ...,https://i.ytimg.com/vi/uq48uJTuoY8/default.jpg,21236,0,10,0,56,en,0,23,4,128,en
80,80,30,FYsjsg0a9JQ,[✨NEW] Baby Shark&#39;s Car Wash | Toy Car Wash Song | Baby Shark Official,[NEW CHANNEL] Subscribe Bebefinn - Nursery Rhymes & Kids Songs ...,https://i.ytimg.com/vi/FYsjsg0a9JQ/default.jpg,16366473,1,14,7,74,en,0,8,7,66,en
81,81,31,sSIRUKqJYwA,Cruz Learns How to Race | Pixar Cars,It's time to race! Lightning McQueen is ready to help coach Cruz Ramirez and get her past the finish line. Do you think Cruz has ...,https://i.ytimg.com/vi/sSIRUKqJYwA/default.jpg,4688707,0,7,1,36,en,0,26,6,132,en
82,82,32,tgxrwU9ohR4,Training with Cruz Ramirez! | &quot;Loosen Those Ancient Joints!&quot; | Pixar Cars,Every good training session should start with warm-ups! What were Cruz Ramirez's techniques for warming up with Lightning ...,https://i.ytimg.com/vi/tgxrwU9ohR4/default.jpg,13495856,0,12,8,83,en,0,20,6,125,en
83,83,33,1tYYhpwrEYs,Pixar Remix: Cars &quot;Rules of the Road&quot; | Pixar,Start your engines for a new Pixar Remix featuring Cars! Join Lightning McQueen on a musical reimagining of the first Cars film.,https://i.ytimg.com/vi/1tYYhpwrEYs/default.jpg,1176646,0,10,6,55,en,0,22,2,128,en
84,84,34,wg-IlVwP0TU,The Winning Backflip of Cruz Ramirez | Pixar Cars,Watch Cruz Ramirez do the game-winning backflip over Jackson Storm in this Pixar Cars clip! It's a very close race and Cruz is ...,https://i.ytimg.com/vi/wg-IlVwP0TU/default.jpg,1346744,0,8,1,49,en,0,25,6,130,en
85,85,35,1a8rHK3CnOM,Can Francesco Beat Lightning McQueen on a Dirt Track? | Pixar Cars,It's Lightning McQueen's first time racing in an international race. Does he have what it takes to beat Francesco Bernoulli in Japan ...,https://i.ytimg.com/vi/1a8rHK3CnOM/default.jpg,22286762,0,11,2,66,en,0,24,6,136,en
86,86,36,Ki6xHnDAwHw,Good Times Roll,Provided to YouTube by Elektra Records Good Times Roll · The Cars The Cars ℗ 1978 Elektra/Asylum Records Bass Guitar: ...,https://i.ytimg.com/vi/Ki6xHnDAwHw/default.jpg,7538214,0,3,0,15,en,0,19,5,121,en
87,87,37,C-tlG4vd4yo,New Car vs Second Hand Car 🚗,New Car vs Second Hand Car || bekifaayati #youtubepartner #youtubeshorts #shorts.,https://i.ytimg.com/vi/C-tlG4vd4yo/default.jpg,34176,1,6,0,28,en,0,10,6,81,en
88,88,38,BR5m4OeZjHI,Riley Green - Numbers On The Cars,"Music video by Riley Green performing Numbers On The Cars. © 2019 Big Machine Label Group, LLC http://vevo.ly/ex3Mxl.",https://i.ytimg.com/vi/BR5m4OeZjHI/default.jpg,4317202,0,6,1,33,en,1,20,8,117,en
89,89,39,bfuaEB0T-AY,Two Cars Collided During a Texas Parking Lot Road Rage Incident #shorts,"Outside a Texas Target store, a man and woman got into a heated confrontation over a parking spot before the woman put her car ...",https://i.ytimg.com/vi/bfuaEB0T-AY/default.jpg,1170721,0,12,1,71,en,0,24,4,130,en
90,90,40,0C9i-cQdwjA,Why High Downforce Road Cars Suck,"High downforce will ruin a dedicated road car, here's why! Why Stiff Springs Reduce Grip - https://youtu.be/hGZRairqHNI ...",https://i.ytimg.com/vi/0C9i-cQdwjA/default.jpg,1254353,0,6,0,33,en,0,20,12,123,en
91,91,41,vyUE5LF9WO8,Cars caught on video prowling Louisville neighborhoods,Cars caught on video prowling Louisville neighborhoods Subscribe to WLKY on YouTube now for more: http://bit.ly/1e5KyMO Get ...,https://i.ytimg.com/vi/vyUE5LF9WO8/default.jpg,1489,0,7,0,54,en,0,20,9,127,en
92,92,42,kOfNcocoga8,VIDEO | Fatal crash as fleeing car causes building collapse in Baltimore,The Maryland Attorney General's Office released video that shows what happened back on February 8th in Baltimore when a car ...,https://i.ytimg.com/vi/kOfNcocoga8/default.jpg,46103,0,11,1,72,en,0,21,4,127,en
93,93,43,S8q1R71Q4K0,What Makes a Race Car Fast? | Science of Banking | Pixar Cars,"The content was filmed on 2/15/20. Did you ever notice how race tracks look a little steep? Today, we'll meet special NASCAR ...",https://i.ytimg.com/vi/S8q1R71Q4K0/default.jpg,15545405,0,11,3,61,en,0,25,9,128,en
94,94,44,i7kONblKM0Q,McQueen ayuda a El Rey - Escena de la película  |  Pixar Cars,"Revive el momento icónico interpretado con juguetes de la primera carrera de El Rayo Mcqueen en la copa Pistón, cuando El ...",https://i.ytimg.com/vi/i7kONblKM0Q/default.jpg,16747449,0,11,2,61,ca,0,21,4,125,es
95,95,45,gE_vYMHi9dc,The transforming car of the future 🤯🔥,supercarblondie #conceptcar #carshorts #youtubeshorts #supercars #luxurycars.,https://i.ytimg.com/vi/gE_vYMHi9dc/default.jpg,609563,2,6,0,37,en,0,6,6,77,en
96,96,46,khDi1YzYrhE,When Police Car Brakes FAIL!,See the full story - https://youtu.be/fY2QFhd4hnc VINwiki Merchandise - https://store.vinwiki.com VINwiki on iOS ...,https://i.ytimg.com/vi/khDi1YzYrhE/default.jpg,180576,0,5,1,28,en,0,17,15,116,en
97,97,47,A3-vsOv6bqU,rally cars are just built differently,,https://i.ytimg.com/vi/A3-vsOv6bqU/default.jpg,700708,0,6,0,37,en,0,1,0,3,tl
98,98,48,_7o97BbMFok,Best Rare Everyday Cars from my Collection | Diecast Model Cars,"So these are Rare Everyday/mass market Cars Diecast Models in 1/18 Scale, i have picked one car from every segment like ...",https://i.ytimg.com/vi/_7o97BbMFok/default.jpg,2398156,0,10,1,63,en,0,23,6,123,en
99,99,49,jiXrwNOqQjs,You won&#39;t know this - Electric Cars Explained in 1 min!,Car Consultancy Form: https://motoroctane.com/car-consultancy OWNER'S Car Review Want us to review your car/bike?,https://i.ytimg.com/vi/jiXrwNOqQjs/default.jpg,191316,0,12,5,59,en,0,19,10,113,en
